<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.03.07 07:00:00 0.69019 0.69081 0.68970 0.68984 930 0 5
2022.03.07 07:30:00 0.68984 0.69007 0.68953 0.68975 926 0 6
2022.03.07 08:00:00 0.68973 0.69047 0.68954 0.69039 870 0 4
2022.03.07 08:30:00 0.69039 0.69100 0.68968 0.69091 812 0 2
2022.03.07 09:00:00 0.69090 0.69147 0.69039 0.69049 1772 0 4
2022.03.07 09:30:00 0.69050 0.69056 0.68949 0.68961 1810 0 4
2022.03.07 10:00:00 0.68967 0.69041 0.68904 0.68943 2307 0 2
2022.03.07 10:30:00 0.68944 0.68968 0.68856 0.68923 1808 0 5
2022.03.07 11:00:00 0.68925 0.68946 0.68810 0.68845 1977 0 3
2022.03.07 11:30:00 0.68846 0.68854 0.68745 0.68829 1628 0 4
2022.03.07 12:00:00 0.68830 0.68843 0.68722 0.68728 1234 0 3
2022.03.07 12:30:00 0.68727 0.68814 0.68688 0.68761 1251 0 4
2022.03.07 13:00:00 0.68763 0.68868 0.68747 0.68800 1304 0 4
2022.03.07 13:30:00 0.68800 0.68898 0.68773 0.68895 1568 0 3
2022.03.07 14:00:00 0.68894 0.68930 0.68827 0.68874 2159 0 5
2022.03.07 14:30:00 0.68876 0.68897 0.68681 0.68782 2773 0 1
2022.03.07 15:00:00 0.68783 0.68799 0.68638 0.68661 2313 0 2
2022.03.07 15:30:00 0.68660 0.68778 0.68609 0.68628 2270 0 3
2022.03.07 16:00:00 0.68627 0.68627 0.68528 0.68557 2390 0 1
2022.03.07 16:30:00 0.68557 0.68581 0.68388 0.68404 2616 0 4
2022.03.07 17:00:00 0.68403 0.68535 0.68389 0.68431 2235 0 3
2022.03.07 17:30:00 0.68431 0.68484 0.68243 0.68275 2350 0 0
2022.03.07 18:00:00 0.68276 0.68371 0.68240 0.68304 2040 0 4
2022.03.07 18:30:00 0.68303 0.68312 0.68221 0.68240 1811 0 4
2022.03.07 19:00:00 0.68240 0.68329 0.68218 0.68250 1467 0 2
2022.03.07 19:30:00 0.68249 0.68369 0.68218 0.68272 2051 0 0
2022.03.07 20:00:00 0.68304 0.68331 0.68250 0.68287 1560 0 7
2022.03.07 20:30:00 0.68287 0.68323 0.68254 0.68269 1408 0 6
2022.03.07 21:00:00 0.68269 0.68301 0.68239 0.68294 1148 0 4
2022.03.07 21:30:00 0.68294 0.68338 0.68212 0.68221 1375 0 0
2022.03.07 22:00:00 0.68217 0.68280 0.68217 0.68253 1140 0 3
2022.03.07 22:30:00 0.68252 0.68256 0.68202 0.68232 783 0 4
2022.03.07 23:00:00 0.68233 0.68262 0.68204 0.68227 589 0 8
2022.03.07 23:30:00 0.68227 0.68248 0.68210 0.68226 228 0 13
2022.03.08 00:00:00 0.68247 0.68247 0.68143 0.68208 158 0 54
2022.03.08 00:30:00 0.68203 0.68275 0.68187 0.68247 325 0 31
2022.03.08 01:00:00 0.68247 0.68286 0.68179 0.68284 373 0 15
2022.03.08 01:30:00 0.68286 0.68372 0.68280 0.68356 341 0 17
2022.03.08 02:00:00 0.68356 0.68427 0.68312 0.68387 810 0 5
2022.03.08 02:30:00 0.68387 0.68439 0.68343 0.68390 899 0 4
2022.03.08 03:00:00 0.68394 0.68500 0.68380 0.68460 1194 0 7
2022.03.08 03:30:00 0.68459 0.68489 0.68410 0.68418 1018 0 8
2022.03.08 04:00:00 0.68418 0.68490 0.68339 0.68348 917 0 7
2022.03.08 04:30:00 0.68348 0.68379 0.68228 0.68228 1157 0 6
2022.03.08 05:00:00 0.68227 0.68283 0.68197 0.68273 946 0 5
2022.03.08 05:30:00 0.68273 0.68329 0.68255 0.68317 697 0 8
2022.03.08 06:00:00 0.68316 0.68331 0.68267 0.68290 538 0 8
2022.03.08 06:30:00 0.68290 0.68298 0.68167 0.68168 759 0 5
2022.03.08 07:00:00 0.68168 0.68176 0.68026 0.68051 1316 0 3
2022.03.08 07:30:00 0.68051 0.68103 0.68002 0.68057 979 0 4
2022.03.08 08:00:00 0.68057 0.68121 0.68034 0.68055 1206 0 2
2022.03.08 08:30:00 0.68058 0.68124 0.68049 0.68069 1200 0 4
2022.03.08 09:00:00 0.68077 0.68237 0.68040 0.68237 1421 0 4
2022.03.08 09:30:00 0.68234 0.68260 0.68131 0.68148 1728 0 1
2022.03.08 10:00:00 0.68148 0.68335 0.68116 0.68226 2666 0 4
2022.03.08 10:30:00 0.68226 0.68236 0.68084 0.68167 2135 0 5
2022.03.08 11:00:00 0.68167 0.68296 0.68137 0.68282 1933 0 5
2022.03.08 11:30:00 0.68282 0.68352 0.68250 0.68330 1715 0 4
2022.03.08 12:00:00 0.68330 0.68365 0.68280 0.68343 1274 0 1
2022.03.08 12:30:00 0.68342 0.68405 0.68302 0.68370 1576 0 5
2022.03.08 13:00:00 0.68369 0.68413 0.68333 0.68346 1262 0 4
2022.03.08 13:30:00 0.68347 0.68440 0.68335 0.68412 1251 0 2
2022.03.08 14:00:00 0.68412 0.68481 0.68358 0.68366 1409 0 3
2022.03.08 14:30:00 0.68367 0.68383 0.68268 0.68284 1662 0 2
2022.03.08 15:00:00 0.68282 0.68337 0.68243 0.68299 2216 0 4
2022.03.08 15:30:00 0.68298 0.68382 0.68265 0.68318 1715 0 5
2022.03.08 16:00:00 0.68314 0.68396 0.68305 0.68369 1805 0 5
2022.03.08 16:30:00 0.68373 0.68429 0.68258 0.68325 2807 0 0
2022.03.08 17:00:00 0.68325 0.68384 0.68200 0.68309 2864 0 3
2022.03.08 17:30:00 0.68306 0.68341 0.68134 0.68179 2629 0 3
2022.03.08 18:00:00 0.68178 0.68216 0.68025 0.68036 2368 0 4
2022.03.08 18:30:00 0.68036 0.68129 0.67994 0.68116 2019 0 4
2022.03.08 19:00:00 0.68118 0.68268 0.68103 0.68258 2841 0 3
2022.03.08 19:30:00 0.68257 0.68277 0.68141 0.68235 3067 0 5
2022.03.08 20:00:00 0.68235 0.68272 0.68109 0.68141 2576 0 3
2022.03.08 20:30:00 0.68143 0.68146 0.68075 0.68108 2183 0 4
2022.03.08 21:00:00 0.68108 0.68110 0.68030 0.68099 1621 0 4
2022.03.08 21:30:00 0.68099 0.68159 0.68058 0.68159 1867 0 5
2022.03.08 22:00:00 0.68158 0.68173 0.68098 0.68099 1592 0 4
2022.03.08 22:30:00 0.68099 0.68114 0.68034 0.68049 1404 0 1
2022.03.08 23:00:00 0.68049 0.68097 0.68046 0.68087 525 0 9
2022.03.08 23:30:00 0.68087 0.68089 0.68025 0.68036 336 0 15
2022.03.09 00:00:00 0.68007 0.68062 0.67964 0.67993 134 0 35
2022.03.09 00:30:00 0.67979 0.68021 0.67976 0.68021 242 0 39
2022.03.09 01:00:00 0.68020 0.68092 0.67998 0.67999 512 0 14
2022.03.09 01:30:00 0.67999 0.68037 0.67988 0.68024 267 0 12
2022.03.09 02:00:00 0.68024 0.68113 0.68024 0.68096 840 0 5
2022.03.09 02:30:00 0.68096 0.68147 0.68075 0.68136 616 0 6
2022.03.09 03:00:00 0.68138 0.68188 0.68092 0.68100 1043 0 6
2022.03.09 03:30:00 0.68100 0.68178 0.68087 0.68106 1096 0 3
2022.03.09 04:00:00 0.68105 0.68155 0.67959 0.68017 1161 0 5
2022.03.09 04:30:00 0.68015 0.68084 0.67999 0.68076 760 0 7
2022.03.09 05:00:00 0.68078 0.68092 0.68008 0.68042 638 0 7
2022.03.09 05:30:00 0.68042 0.68127 0.68034 0.68073 671 0 8
2022.03.09 06:00:00 0.68073 0.68136 0.68068 0.68135 439 0 8
2022.03.09 06:30:00 0.68135 0.68157 0.68121 0.68133 424 0 8
