<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.02.22 12:00:00 0.72075 0.72208 0.72073 0.72199 1957 0 1
2022.02.22 12:30:00 0.72199 0.72332 0.72161 0.72244 3019 0 1
2022.02.22 13:00:00 0.72244 0.72316 0.72220 0.72265 2185 0 1
2022.02.22 13:30:00 0.72264 0.72283 0.72208 0.72222 2043 0 1
2022.02.22 14:00:00 0.72223 0.72272 0.72179 0.72209 1953 0 1
2022.02.22 14:30:00 0.72209 0.72230 0.72107 0.72120 1850 0 1
2022.02.22 15:00:00 0.72120 0.72139 0.72052 0.72126 2219 0 1
2022.02.22 15:30:00 0.72126 0.72179 0.72111 0.72154 1615 0 1
2022.02.22 16:00:00 0.72153 0.72201 0.72113 0.72114 1204 0 1
2022.02.22 16:30:00 0.72117 0.72177 0.72091 0.72095 2568 0 1
2022.02.22 17:00:00 0.72095 0.72166 0.72068 0.72143 2866 0 1
2022.02.22 17:30:00 0.72144 0.72283 0.72102 0.72238 3385 0 1
2022.02.22 18:00:00 0.72237 0.72305 0.72205 0.72257 2570 0 1
2022.02.22 18:30:00 0.72259 0.72333 0.72233 0.72259 2089 0 1
2022.02.22 19:00:00 0.72259 0.72265 0.72174 0.72201 1339 0 2
2022.02.22 19:30:00 0.72201 0.72242 0.72174 0.72181 1024 0 2
2022.02.22 20:00:00 0.72182 0.72194 0.72103 0.72113 1337 0 1
2022.02.22 20:30:00 0.72113 0.72123 0.72034 0.72077 1289 0 1
2022.02.22 21:00:00 0.72077 0.72205 0.72029 0.72162 3090 0 1
2022.02.22 21:30:00 0.72162 0.72237 0.72102 0.72200 4668 0 1
2022.02.22 22:00:00 0.72203 0.72269 0.72191 0.72242 3309 0 1
2022.02.22 22:30:00 0.72242 0.72253 0.72132 0.72170 2155 0 1
2022.02.22 23:00:00 0.72170 0.72205 0.72168 0.72195 468 0 5
2022.02.22 23:30:00 0.72194 0.72207 0.72168 0.72186 265 0 9
2022.02.23 00:00:00 0.72160 0.72212 0.72152 0.72174 199 0 25
2022.02.23 00:30:00 0.72173 0.72204 0.72162 0.72175 242 0 15
2022.02.23 01:00:00 0.72175 0.72260 0.72175 0.72259 409 0 9
2022.02.23 01:30:00 0.72258 0.72286 0.72244 0.72258 389 0 9
2022.02.23 02:00:00 0.72256 0.72330 0.72253 0.72306 659 0 2
2022.02.23 02:30:00 0.72305 0.72305 0.72184 0.72272 1037 0 2
2022.02.23 03:00:00 0.72272 0.72324 0.72217 0.72312 1949 0 2
2022.02.23 03:30:00 0.72310 0.72361 0.72234 0.72340 2037 0 2
2022.02.23 04:00:00 0.72339 0.72407 0.72284 0.72287 1241 0 2
2022.02.23 04:30:00 0.72287 0.72299 0.72207 0.72258 1158 0 2
2022.02.23 05:00:00 0.72258 0.72266 0.72206 0.72254 828 0 2
2022.02.23 05:30:00 0.72254 0.72270 0.72214 0.72269 637 0 2
2022.02.23 06:00:00 0.72269 0.72270 0.72222 0.72228 511 0 3
2022.02.23 06:30:00 0.72228 0.72338 0.72227 0.72327 784 0 2
2022.02.23 07:00:00 0.72326 0.72365 0.72266 0.72266 965 0 1
2022.02.23 07:30:00 0.72266 0.72324 0.72251 0.72313 572 0 1
2022.02.23 08:00:00 0.72315 0.72351 0.72292 0.72327 645 0 2
2022.02.23 08:30:00 0.72327 0.72375 0.72321 0.72338 664 0 1
2022.02.23 09:00:00 0.72338 0.72383 0.72302 0.72362 1082 0 1
2022.02.23 09:30:00 0.72362 0.72442 0.72356 0.72439 1390 0 1
2022.02.23 10:00:00 0.72440 0.72517 0.72416 0.72509 2001 0 1
2022.02.23 10:30:00 0.72509 0.72571 0.72479 0.72553 1681 0 1
2022.02.23 11:00:00 0.72555 0.72636 0.72547 0.72620 1469 0 1
2022.02.23 11:30:00 0.72620 0.72673 0.72595 0.72646 1293 0 1
2022.02.23 12:00:00 0.72646 0.72673 0.72599 0.72630 1549 0 1
2022.02.23 12:30:00 0.72631 0.72652 0.72595 0.72637 1195 0 1
2022.02.23 13:00:00 0.72637 0.72660 0.72599 0.72608 1008 0 1
2022.02.23 13:30:00 0.72607 0.72624 0.72549 0.72575 1077 0 1
2022.02.23 14:00:00 0.72576 0.72656 0.72569 0.72644 1006 0 1
2022.02.23 14:30:00 0.72644 0.72689 0.72643 0.72674 1107 0 1
2022.02.23 15:00:00 0.72675 0.72786 0.72670 0.72785 1415 0 1
2022.02.23 15:30:00 0.72785 0.72835 0.72753 0.72826 1434 0 1
2022.02.23 16:00:00 0.72826 0.72835 0.72729 0.72755 1279 0 1
2022.02.23 16:30:00 0.72753 0.72787 0.72638 0.72643 2716 0 1
2022.02.23 17:00:00 0.72643 0.72663 0.72514 0.72518 2760 0 1
2022.02.23 17:30:00 0.72518 0.72581 0.72408 0.72433 2791 0 1
2022.02.23 18:00:00 0.72433 0.72447 0.72329 0.72426 2212 0 1
2022.02.23 18:30:00 0.72428 0.72469 0.72385 0.72435 2014 0 1
2022.02.23 19:00:00 0.72435 0.72537 0.72430 0.72526 1336 0 1
2022.02.23 19:30:00 0.72526 0.72529 0.72435 0.72441 1004 0 1
2022.02.23 20:00:00 0.72441 0.72441 0.72355 0.72362 1242 0 2
2022.02.23 20:30:00 0.72362 0.72442 0.72360 0.72397 1175 0 1
2022.02.23 21:00:00 0.72396 0.72421 0.72373 0.72384 1671 0 1
2022.02.23 21:30:00 0.72384 0.72389 0.72287 0.72352 1874 0 1
2022.02.23 22:00:00 0.72347 0.72372 0.72304 0.72362 1696 0 2
2022.02.23 22:30:00 0.72361 0.72367 0.72268 0.72287 1638 0 2
2022.02.23 23:00:00 0.72288 0.72318 0.72286 0.72312 454 0 2
2022.02.23 23:30:00 0.72312 0.72338 0.72279 0.72337 277 0 9
2022.02.24 00:00:00 0.72312 0.72324 0.72248 0.72282 217 0 34
2022.02.24 00:30:00 0.72282 0.72290 0.72262 0.72270 189 0 13
2022.02.24 01:00:00 0.72270 0.72301 0.72211 0.72250 531 0 9
2022.02.24 01:30:00 0.72251 0.72322 0.72251 0.72270 393 0 10
2022.02.24 02:00:00 0.72271 0.72291 0.72137 0.72146 1297 0 2
2022.02.24 02:30:00 0.72143 0.72184 0.72027 0.72030 1793 0 2
2022.02.24 03:00:00 0.72030 0.72108 0.72019 0.72079 2407 0 2
2022.02.24 03:30:00 0.72079 0.72165 0.72058 0.72143 2968 0 2
2022.02.24 04:00:00 0.72144 0.72162 0.72018 0.72023 2106 0 2
2022.02.24 04:30:00 0.72023 0.72101 0.71864 0.71968 3381 0 2
2022.02.24 05:00:00 0.71968 0.72016 0.71855 0.71890 5160 0 2
2022.02.24 05:30:00 0.71890 0.71895 0.71758 0.71852 4580 0 2
2022.02.24 06:00:00 0.71852 0.71870 0.71680 0.71783 3745 0 2
2022.02.24 06:30:00 0.71783 0.72053 0.71726 0.71974 4233 0 2
2022.02.24 07:00:00 0.71977 0.72035 0.71849 0.71905 3743 0 1
2022.02.24 07:30:00 0.71905 0.71956 0.71844 0.71938 2837 0 1
2022.02.24 08:00:00 0.71939 0.72009 0.71904 0.71958 2639 0 1
2022.02.24 08:30:00 0.71957 0.71978 0.71836 0.71870 2652 0 1
2022.02.24 09:00:00 0.71870 0.71899 0.71722 0.71726 4826 0 1
2022.02.24 09:30:00 0.71726 0.71847 0.71718 0.71775 3898 0 1
2022.02.24 10:00:00 0.71775 0.71911 0.71748 0.71874 5616 0 1
2022.02.24 10:30:00 0.71874 0.71886 0.71714 0.71865 4120 0 1
2022.02.24 11:00:00 0.71868 0.71904 0.71821 0.71870 4325 0 1
2022.02.24 11:30:00 0.71872 0.71892 0.71738 0.71739 3799 0 1
2022.02.24 12:00:00 0.71740 0.71813 0.71710 0.71793 4034 0 1
2022.02.24 12:30:00 0.71794 0.71853 0.71732 0.71743 3275 0 1
2022.02.24 13:00:00 0.71745 0.71763 0.71623 0.71636 3167 0 1
2022.02.24 13:30:00 0.71636 0.71761 0.71612 0.71723 3310 0 1
2022.02.24 14:00:00 0.71724 0.71765 0.71664 0.71756 3222 0 1
2022.02.24 14:30:00 0.71753 0.71753 0.71627 0.71642 2660 0 1
2022.02.24 15:00:00 0.71642 0.71683 0.71554 0.71568 3071 0 1
2022.02.24 15:30:00 0.71579 0.71626 0.71513 0.71522 3564 0 1
2022.02.24 16:00:00 0.71521 0.71577 0.71423 0.71445 3264 0 1
2022.02.24 16:30:00 0.71450 0.71591 0.71410 0.71424 5423 0 1
2022.02.24 17:00:00 0.71422 0.71448 0.71218 0.71252 4644 0 1
