<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.04.21 09:00:00 1.35386 1.35583 1.35363 1.35558 2793 0 4
2022.04.21 09:30:00 1.35558 1.36083 1.35550 1.36050 4959 0 1
2022.04.21 10:00:00 1.36044 1.36171 1.36000 1.36057 4420 0 1
2022.04.21 10:30:00 1.36057 1.36319 1.36025 1.36160 3807 0 0
2022.04.21 11:00:00 1.36160 1.36174 1.36041 1.36052 3077 0 0
2022.04.21 11:30:00 1.36051 1.36307 1.36048 1.36221 2837 0 3
2022.04.21 12:00:00 1.36220 1.36272 1.36124 1.36135 1935 0 1
2022.04.21 12:30:00 1.36133 1.36194 1.36041 1.36194 2106 0 0
2022.04.21 13:00:00 1.36195 1.36257 1.36151 1.36197 2153 0 1
2022.04.21 13:30:00 1.36197 1.36224 1.36064 1.36099 2466 0 4
2022.04.21 14:00:00 1.36099 1.36133 1.35903 1.35972 2812 0 2
2022.04.21 14:30:00 1.35972 1.36033 1.35900 1.35920 2658 0 2
2022.04.21 15:00:00 1.35922 1.36067 1.35901 1.35992 2639 0 0
2022.04.21 15:30:00 1.35991 1.36104 1.35844 1.36085 2858 0 2
2022.04.21 16:00:00 1.36085 1.36094 1.35827 1.35960 3663 0 1
2022.04.21 16:30:00 1.35959 1.35975 1.35791 1.35845 3817 0 1
2022.04.21 17:00:00 1.35845 1.35868 1.35716 1.35782 3843 0 0
2022.04.21 17:30:00 1.35781 1.35835 1.35564 1.35574 3913 0 1
2022.04.21 18:00:00 1.35574 1.35888 1.35503 1.35859 3503 0 0
2022.04.21 18:30:00 1.35860 1.35965 1.35731 1.35812 3970 0 2
2022.04.21 19:00:00 1.35812 1.35923 1.35772 1.35876 2926 0 0
2022.04.21 19:30:00 1.35876 1.36099 1.35854 1.36088 2691 0 3
2022.04.21 20:00:00 1.36089 1.36203 1.36062 1.36156 3836 0 4
2022.04.21 20:30:00 1.36156 1.36447 1.36152 1.36360 3630 0 4
2022.04.21 21:00:00 1.36358 1.36369 1.36264 1.36272 2340 0 2
2022.04.21 21:30:00 1.36273 1.36402 1.36233 1.36326 2192 0 4
2022.04.21 22:00:00 1.36326 1.36447 1.36265 1.36277 1982 0 4
2022.04.21 22:30:00 1.36278 1.36369 1.36236 1.36322 2455 0 4
2022.04.21 23:00:00 1.36320 1.36374 1.36266 1.36321 1767 0 8
2022.04.21 23:30:00 1.36321 1.36384 1.36264 1.36292 1147 0 15
2022.04.22 00:00:00 1.36324 1.36334 1.36248 1.36258 294 0 54
2022.04.22 00:30:00 1.36255 1.36351 1.36255 1.36320 1101 0 44
2022.04.22 01:00:00 1.36318 1.36357 1.36282 1.36348 598 0 14
2022.04.22 01:30:00 1.36347 1.36380 1.36306 1.36354 600 0 13
2022.04.22 02:00:00 1.36354 1.36388 1.36218 1.36356 809 0 8
2022.04.22 02:30:00 1.36356 1.36438 1.36346 1.36435 992 0 10
2022.04.22 03:00:00 1.36434 1.36489 1.36408 1.36485 1317 0 6
2022.04.22 03:30:00 1.36485 1.36549 1.36457 1.36482 1721 0 2
2022.04.22 04:00:00 1.36482 1.36569 1.36472 1.36564 1914 0 7
2022.04.22 04:30:00 1.36564 1.36601 1.36538 1.36576 1648 0 5
2022.04.22 05:00:00 1.36576 1.36587 1.36521 1.36528 1359 0 3
2022.04.22 05:30:00 1.36528 1.36540 1.36451 1.36512 1327 0 7
2022.04.22 06:00:00 1.36512 1.36587 1.36494 1.36542 2279 0 7
2022.04.22 06:30:00 1.36544 1.36594 1.36522 1.36590 1160 0 5
2022.04.22 07:00:00 1.36590 1.36644 1.36585 1.36605 1104 0 1
2022.04.22 07:30:00 1.36605 1.36649 1.36559 1.36580 894 0 8
2022.04.22 08:00:00 1.36580 1.36642 1.36571 1.36604 1439 0 6
2022.04.22 08:30:00 1.36602 1.36687 1.36576 1.36671 1460 0 7
2022.04.22 09:00:00 1.36673 1.36787 1.36639 1.36724 3664 0 2
2022.04.22 09:30:00 1.36725 1.36810 1.36607 1.36664 3524 0 1
2022.04.22 10:00:00 1.36665 1.36696 1.36401 1.36596 4801 0 1
2022.04.22 10:30:00 1.36594 1.36634 1.36409 1.36481 3098 0 3
2022.04.22 11:00:00 1.36481 1.36540 1.36304 1.36334 3570 0 3
2022.04.22 11:30:00 1.36333 1.36814 1.36280 1.36795 3203 0 3
2022.04.22 12:00:00 1.36800 1.36900 1.36737 1.36848 2481 0 2
2022.04.22 12:30:00 1.36848 1.37030 1.36835 1.37030 2306 0 1
2022.04.22 13:00:00 1.37031 1.37046 1.36910 1.36991 2319 0 3
2022.04.22 13:30:00 1.36991 1.37008 1.36880 1.36981 2049 0 1
2022.04.22 14:00:00 1.36981 1.37125 1.36937 1.36976 2824 0 1
2022.04.22 14:30:00 1.36978 1.37095 1.36920 1.37081 2000 0 2
2022.04.22 15:00:00 1.37080 1.37242 1.37050 1.37198 2590 0 1
2022.04.22 15:30:00 1.37198 1.37198 1.36990 1.37140 2618 0 0
2022.04.22 16:00:00 1.37142 1.37413 1.37083 1.37267 3860 0 0
2022.04.22 16:30:00 1.37266 1.37307 1.37089 1.37116 5571 0 0
2022.04.22 17:00:00 1.37117 1.37255 1.37033 1.37059 4827 0 2
2022.04.22 17:30:00 1.37058 1.37067 1.36889 1.36994 4948 0 2
2022.04.22 18:00:00 1.36992 1.37070 1.36876 1.36984 4921 0 0
2022.04.22 18:30:00 1.36983 1.37298 1.36910 1.37185 3771 0 0
2022.04.22 19:00:00 1.37185 1.37241 1.37086 1.37128 2180 0 2
